medication_id,medication_name,medication_category,current_inventory,reorder_point,max_capacity,prescription_volume_30d,avg_weekly_demand,demand_trend,supplier_id,supplier_lead_time_days,supplier_reliability_score,historical_shortage_count,days_since_last_shortage,avg_stockout_duration_days,risk_label
MED69B9BC,Infliximab 100mg,immunological,541.0,73.0,645.0,168.0,34.0,0.04,SUP157,32.0,0.198,7,30.0,3.6,1
MED4CDFBC,Ipratropium Nebulizer,respiratory,87.0,209.0,2671.0,298.0,78.0,-0.2,SUP125,18.0,0.541,5,45.0,4.6,1
MEDE4B3A4,Ketorolac 30mg/mL,analgesic,1760.0,930.0,1862.0,787.0,295.0,-0.18,SUP120,16.0,0.611,6,67.0,5.2,0
MEDED0B0E,Levofloxacin 500mg,antibiotic,1322.0,536.0,1565.0,373.0,121.0,0.44,SUP106,21.0,0.586,6,41.0,11.8,0
MED0B8EF5,Dulaglutide 1.5mg,diabetes,1400.0,42.0,2150.0,45.0,9.0,0.14,SUP115,31.0,0.347,6,101.0,11.0,1
MEDC4F6CA,Carbamazepine 400mg,neurological,738.0,535.0,989.0,1502.0,398.0,-0.33,SUP136,14.0,0.534,6,74.0,0.2,1
MEDD733AE,Cyclosporine 100mg,immunological,19.0,770.0,493.0,1145.0,212.0,0.12,SUP154,29.0,0.393,7,52.0,4.4,0
MED348AD4,Dexamethasone 4mg,respiratory,250.0,212.0,657.0,101.0,44.0,0.1,SUP126,18.0,0.587,6,37.0,11.4,1
MED7C9C6A,Diltiazem 120mg,cardiovascular,216.0,888.0,1840.0,1577.0,272.0,-0.16,SUP110,4.0,0.697,3,13.0,7.6,0
MED8ECB6A,Clozapine 100mg,psychiatric,369.0,126.0,684.0,314.0,74.0,0.56,SUP140,41.0,0.292,10,66.0,16.7,1
MEDA38FA8,Phenytoin 100mg,neurological,781.0,1310.0,923.0,2029.0,306.0,0.57,SUP134,21.0,0.431,6,24.0,9.4,1
MED1E2C58,Doxorubicin 50mg,oncology,248.0,1558.0,2036.0,683.0,327.0,0.3,SUP149,53.0,0.28,12,21.0,14.2,1
MED238645,Heparin 5000U/mL,cardiovascular,916.0,710.0,1460.0,1739.0,266.0,0.68,SUP108,21.0,0.598,6,82.0,5.3,1
MED73BA1B,Gabapentin 600mg,neurological,510.0,415.0,770.0,556.0,106.0,-0.21,SUP137,21.0,0.569,4,40.0,3.0,1
MED5D2FA1,Lithium Carbonate 300mg,psychiatric,3.0,66.0,53.0,96.0,23.0,-0.26,SUP139,25.0,0.472,4,33.0,6.2,1
MED22424F,Dexamethasone 4mg,respiratory,297.0,51.0,421.0,94.0,38.0,0.34,SUP126,19.0,0.467,3,42.0,30.9,0
MED4D6A70,Mycophenolate 500mg,immunological,743.0,220.0,2414.0,648.0,104.0,0.31,SUP155,16.0,0.47,7,23.0,0.4,1
MED0F1716,Tacrolimus 5mg,immunological,3.0,42.0,63.0,87.0,15.0,-0.0,SUP153,38.0,0.482,5,34.0,2.0,1
MED853CC3,Meloxicam 15mg,analgesic,253.0,979.0,966.0,1000.0,220.0,-0.06,SUP121,9.0,0.782,1,115.0,1.4,0
MED589F75,Enoxaparin 40mg,cardiovascular,42.0,7.0,270.0,29.0,5.0,-0.17,SUP108,13.0,0.474,4,87.0,6.9,0
MED74D038,Valproic Acid 250mg,neurological,578.0,460.0,966.0,1781.0,281.0,0.17,SUP135,12.0,0.553,4,92.0,5.7,0
MED471497,Mesalamine 400mg,gastrointestinal,512.0,475.0,2429.0,1250.0,213.0,0.09,SUP132,20.0,0.577,2,26.0,18.6,0
MEDD8B887,Gabapentin 600mg,neurological,1004.0,799.0,1118.0,989.0,183.0,0.65,SUP137,16.0,0.59,4,67.0,11.0,0
MED45BAA0,Divalproex ER 500mg,psychiatric,569.0,1050.0,2673.0,1015.0,287.0,0.35,SUP144,14.0,0.509,3,75.0,1.9,1
MED49EF7B,Temozolomide 100mg,oncology,1800.0,674.0,2768.0,581.0,140.0,-0.17,SUP151,44.0,0.378,2,39.0,12.8,1
MED990C22,Sucralfate 1g,gastrointestinal,589.0,143.0,1115.0,340.0,94.0,-0.22,SUP130,6.0,0.581,7,7.0,20.4,1
MED0DDCE5,Acetazolamide 250mg,neurological,459.0,647.0,842.0,1615.0,397.0,-0.22,SUP138,22.0,0.499,5,23.0,3.0,1
MED438102,Bupropion XL 300mg,psychiatric,109.0,137.0,1937.0,821.0,123.0,-0.15,SUP143,11.0,0.47,9,64.0,20.3,1
MEDFA0FE7,Cyclosporine 100mg,immunological,14.0,58.0,191.0,98.0,18.0,-0.03,SUP154,14.0,0.508,5,67.0,8.6,1
MEDCDA00C,Ipratropium Nebulizer,respiratory,1359.0,539.0,2858.0,396.0,137.0,-0.25,SUP125,10.0,0.452,5,13.0,2.6,1
MED87A201,Insulin Glargine 300U/mL,diabetes,23.0,177.0,2320.0,426.0,103.0,0.67,SUP114,24.0,0.412,12,92.0,0.5,1
MEDECDDFF,Semaglutide 0.25mg,diabetes,783.0,445.0,809.0,1537.0,393.0,0.56,SUP115,40.0,0.411,2,44.0,6.6,1
MED4D42B5,Heparin 5000U/mL,cardiovascular,1203.0,606.0,2224.0,1316.0,191.0,0.21,SUP108,15.0,0.456,8,113.0,3.5,1
MED1DAB0B,Fentanyl Patch 25mcg/hr,analgesic,552.0,745.0,1233.0,490.0,201.0,-0.32,SUP119,33.0,0.4,3,74.0,17.0,1
MED454204,Enoxaparin 40mg,cardiovascular,2044.0,22.0,2577.0,13.0,5.0,0.48,SUP108,25.0,0.459,2,107.0,3.3,1
MEDA29996,Dulaglutide 1.5mg,diabetes,134.0,591.0,1958.0,555.0,183.0,0.11,SUP115,50.0,0.236,10,62.0,2.4,1
MED50F6CB,Mesalamine 400mg,gastrointestinal,1788.0,778.0,2546.0,1988.0,393.0,0.3,SUP132,20.0,0.702,3,62.0,2.9,0
MEDD5E02C,Diltiazem 120mg,cardiovascular,2019.0,234.0,2755.0,254.0,84.0,0.15,SUP110,10.0,0.746,2,103.0,8.1,0
MEDEBBA0C,Temozolomide 100mg,oncology,316.0,14.0,530.0,24.0,12.0,-0.4,SUP151,19.0,0.32,7,9.0,8.0,1
MEDC5C346,Ceftriaxone 1g,antibiotic,1220.0,497.0,1593.0,999.0,163.0,0.03,SUP104,16.0,0.453,4,50.0,11.3,0
MED5500A9,Dulaglutide 1.5mg,diabetes,463.0,442.0,561.0,717.0,224.0,-0.14,SUP115,28.0,0.276,5,86.0,16.0,1
MED1CD164,Lithium Carbonate 300mg,psychiatric,152.0,30.0,1116.0,98.0,24.0,-0.38,SUP139,27.0,0.527,5,23.0,7.6,0
MEDB59083,Tacrolimus 5mg,immunological,463.0,444.0,1372.0,596.0,116.0,0.47,SUP153,15.0,0.489,7,85.0,7.1,1
MEDCFF8C4,Montelukast 4mg,respiratory,261.0,303.0,544.0,662.0,269.0,0.37,SUP128,13.0,0.594,6,43.0,10.3,1
MED0F1E68,Semaglutide 0.25mg,diabetes,29.0,1229.0,2656.0,1600.0,314.0,-0.32,SUP115,19.0,0.43,3,76.0,2.2,1
MED4098FD,Dulaglutide 1.5mg,diabetes,27.0,133.0,447.0,134.0,33.0,0.37,SUP115,45.0,0.392,2,104.0,4.2,1
MED09D7D2,Spironolactone 25mg,cardiovascular,388.0,971.0,1932.0,1125.0,205.0,0.6,SUP112,8.0,0.742,3,109.0,8.6,0
MED3C737E,Semaglutide 0.25mg,diabetes,796.0,412.0,1067.0,709.0,296.0,0.2,SUP115,32.0,0.339,7,102.0,2.0,1
MED81E69C,Cisplatin 50mg,oncology,1287.0,1546.0,2220.0,1857.0,323.0,-0.38,SUP146,38.0,0.341,3,2.0,6.6,1
MED20E077,Semaglutide 0.25mg,diabetes,355.0,534.0,1286.0,374.0,151.0,-0.1,SUP115,31.0,0.39,7,13.0,24.2,1
MED472F4A,Carbamazepine 400mg,neurological,562.0,759.0,866.0,1280.0,354.0,-0.11,SUP136,12.0,0.642,4,63.0,2.2,0
MEDF18B40,Methotrexate 25mg/mL,oncology,424.0,239.0,577.0,529.0,84.0,0.67,SUP145,39.0,0.297,5,42.0,14.6,0
MED3431DC,Carboplatin 150mg,oncology,1616.0,595.0,2245.0,587.0,197.0,0.52,SUP147,42.0,0.471,10,15.0,6.3,1
MED08E998,Acetazolamide 250mg,neurological,1171.0,465.0,1739.0,1039.0,270.0,0.24,SUP138,24.0,0.547,6,45.0,0.4,1
MEDC70227,Piperacillin-Tazobactam 3.375g,antibiotic,488.0,428.0,1238.0,645.0,121.0,0.53,SUP101,18.0,0.523,8,78.0,0.9,1
MED4F7F9D,Temozolomide 100mg,oncology,78.0,90.0,127.0,253.0,37.0,-0.09,SUP151,39.0,0.339,5,107.0,3.7,1
MEDF7D15D,Insulin Aspart 100U/mL,diabetes,32.0,491.0,2128.0,1120.0,167.0,-0.05,SUP113,22.0,0.307,11,94.0,1.2,1
MEDF46DE6,Valproic Acid 250mg,neurological,112.0,510.0,1919.0,417.0,115.0,0.48,SUP135,16.0,0.616,4,55.0,16.4,0
MED33B147,Ketorolac 30mg/mL,analgesic,1315.0,571.0,1468.0,631.0,129.0,-0.13,SUP120,17.0,0.625,3,65.0,7.2,0
MEDCAEF7E,Diclofenac 75mg,analgesic,23.0,218.0,668.0,396.0,73.0,-0.08,SUP122,16.0,0.648,1,87.0,11.8,0
MED3EAE92,Epinephrine 1mg/mL,respiratory,1074.0,150.0,2444.0,819.0,128.0,0.34,SUP124,24.0,0.433,6,106.0,1.0,1
MEDF29186,Ketorolac 30mg/mL,analgesic,168.0,1324.0,1058.0,2505.0,384.0,0.62,SUP120,16.0,0.666,5,26.0,7.8,1
MED2F8695,Insulin Aspart 100U/mL,diabetes,766.0,1468.0,987.0,2412.0,370.0,0.3,SUP113,21.0,0.369,5,57.0,1.3,1
MEDF4860E,Spironolactone 25mg,cardiovascular,1157.0,300.0,1587.0,584.0,110.0,0.18,SUP112,7.0,0.825,0,262.0,0.0,0
MED9D2148,Semaglutide 0.25mg,diabetes,915.0,73.0,1375.0,75.0,16.0,0.61,SUP115,35.0,0.382,3,30.0,3.9,1
MEDA37356,Valproic Acid 250mg,neurological,784.0,332.0,1851.0,1001.0,219.0,-0.21,SUP135,16.0,0.617,5,108.0,3.8,0
MEDE900EA,Insulin Aspart 100U/mL,diabetes,72.0,489.0,319.0,1034.0,158.0,-0.36,SUP113,48.0,0.436,7,41.0,2.9,1
MED6D88E7,Ondansetron ODT 4mg,gastrointestinal,315.0,176.0,1457.0,150.0,44.0,0.39,SUP129,21.0,0.571,3,31.0,13.4,0
MED9DA2B1,Codeine/Guaifenesin,respiratory,1685.0,680.0,2506.0,1554.0,344.0,0.1,SUP127,14.0,0.518,7,84.0,10.9,1
MED4F02FD,Cyclosporine 100mg,immunological,591.0,513.0,1286.0,833.0,362.0,0.3,SUP154,29.0,0.462,4,104.0,7.5,1
MEDE4C9D0,Chlorpromazine 50mg,psychiatric,2402.0,1712.0,2404.0,1403.0,378.0,0.33,SUP142,25.0,0.65,2,3.0,0.7,0
MEDBF2B9E,Gabapentin 600mg,neurological,95.0,53.0,153.0,280.0,43.0,0.05,SUP137,4.0,0.551,13,55.0,1.2,1
MEDF4F464,Codeine/Guaifenesin,respiratory,380.0,31.0,1407.0,81.0,12.0,0.62,SUP127,19.0,0.401,4,48.0,12.8,0
MED4D9695,Gabapentin 600mg,neurological,423.0,429.0,604.0,705.0,106.0,-0.35,SUP137,15.0,0.731,3,9.0,23.2,0
MED69AF80,Clozapine 100mg,psychiatric,1495.0,662.0,2255.0,554.0,182.0,-0.09,SUP140,51.0,0.32,10,93.0,3.2,0
MEDB9AB35,Levofloxacin 500mg,antibiotic,980.0,583.0,2372.0,453.0,170.0,-0.23,SUP106,15.0,0.678,1,103.0,1.4,0
MEDA26C4D,Lactulose 10g/15mL,gastrointestinal,134.0,23.0,322.0,62.0,14.0,-0.21,SUP131,13.0,0.583,2,80.0,9.7,0
MEDCF9410,Amiodarone 200mg,cardiovascular,1226.0,752.0,2430.0,1443.0,317.0,-0.14,SUP109,32.0,0.593,5,70.0,16.4,0
MEDB8AD7C,Glipizide ER 10mg,diabetes,1419.0,92.0,2761.0,101.0,30.0,-0.08,SUP117,18.0,0.673,3,15.0,4.4,0
MED88B497,Lithium Carbonate 300mg,psychiatric,1151.0,426.0,2167.0,587.0,98.0,-0.15,SUP139,15.0,0.444,7,71.0,0.3,1
MED3AE088,Enoxaparin 40mg,cardiovascular,345.0,734.0,1340.0,1183.0,289.0,-0.17,SUP108,22.0,0.467,7,89.0,3.8,1
MEDA6C845,Tacrolimus 5mg,immunological,63.0,434.0,1125.0,1497.0,235.0,-0.15,SUP153,24.0,0.321,8,101.0,1.0,1
MED9CCC08,Carboplatin 150mg,oncology,352.0,119.0,390.0,536.0,97.0,0.1,SUP147,33.0,0.294,6,32.0,20.3,1
MEDE468F6,Clindamycin 300mg,antibiotic,396.0,205.0,523.0,851.0,180.0,0.29,SUP105,14.0,0.673,3,11.0,8.0,0
MED392475,Ceftriaxone 1g,antibiotic,411.0,711.0,474.0,913.0,214.0,0.57,SUP104,20.0,0.57,5,105.0,2.7,1
MED133378,Sucralfate 1g,gastrointestinal,10.0,889.0,678.0,1633.0,284.0,0.63,SUP130,27.0,0.612,5,29.0,7.7,1
MED546EF1,Bupropion XL 300mg,psychiatric,1355.0,318.0,1980.0,1840.0,264.0,-0.26,SUP143,13.0,0.692,5,16.0,27.7,0
MED792610,Octreotide 100mcg/mL,gastrointestinal,774.0,794.0,888.0,1491.0,392.0,-0.11,SUP133,12.0,0.527,5,54.0,0.7,1
MED041EFA,Morphine Sulfate 15mg,analgesic,47.0,32.0,65.0,84.0,21.0,0.49,SUP118,30.0,0.326,6,106.0,4.5,1
MEDC46EBE,Vincristine 1mg,oncology,1502.0,893.0,2757.0,1899.0,279.0,0.08,SUP150,44.0,0.256,10,75.0,4.0,1
MEDB65681,Meropenem 1g,antibiotic,667.0,81.0,957.0,215.0,32.0,0.54,SUP102,18.0,0.553,7,87.0,4.3,1
MED967092,Meloxicam 15mg,analgesic,2252.0,519.0,2706.0,1946.0,313.0,0.23,SUP121,4.0,0.648,5,25.0,2.0,0
MED343DCB,Haloperidol 5mg,psychiatric,1168.0,681.0,2118.0,1217.0,175.0,-0.29,SUP141,18.0,0.527,5,34.0,17.0,1
MEDCCCC48,Bupropion XL 300mg,psychiatric,522.0,1566.0,1441.0,1139.0,351.0,0.66,SUP143,10.0,0.717,1,113.0,8.9,0
MED2F3F83,Montelukast 4mg,respiratory,1003.0,63.0,1815.0,160.0,29.0,-0.23,SUP128,8.0,0.7,0,255.0,0.0,1
MEDB062BF,Dulaglutide 1.5mg,diabetes,567.0,455.0,994.0,1428.0,217.0,-0.1,SUP115,44.0,0.445,6,66.0,13.1,1
MED4B6DCE,Mesalamine 400mg,gastrointestinal,1771.0,501.0,1839.0,412.0,136.0,-0.28,SUP132,24.0,0.478,6,25.0,16.4,1
MEDC71376,Temozolomide 100mg,oncology,2136.0,950.0,2293.0,807.0,244.0,0.63,SUP151,52.0,0.238,9,58.0,1.0,1
MEDD63AA0,Pioglitazone 30mg,diabetes,219.0,773.0,1867.0,374.0,156.0,0.59,SUP116,5.0,0.67,6,53.0,18.4,1
MED5F34A6,Acetazolamide 250mg,neurological,2147.0,816.0,2953.0,1454.0,229.0,-0.07,SUP138,13.0,0.577,3,16.0,3.0,0
MEDBC4429,Semaglutide 0.25mg,diabetes,283.0,303.0,336.0,646.0,156.0,-0.32,SUP115,36.0,0.467,6,119.0,5.4,1
MEDDF7011,Sucralfate 1g,gastrointestinal,37.0,137.0,142.0,127.0,32.0,-0.0,SUP130,10.0,0.488,2,74.0,7.8,1
MED0B933B,Lactulose 10g/15mL,gastrointestinal,1817.0,1362.0,1864.0,976.0,297.0,0.62,SUP131,9.0,0.62,2,79.0,3.4,0
MED23F82D,Gabapentin 600mg,neurological,273.0,152.0,1347.0,737.0,151.0,0.65,SUP137,21.0,0.496,1,43.0,9.0,1
MED70E578,Dexamethasone 4mg,respiratory,301.0,25.0,862.0,95.0,14.0,0.06,SUP126,9.0,0.579,4,64.0,0.8,0
MED5D59E2,Insulin Aspart 100U/mL,diabetes,745.0,156.0,2091.0,393.0,98.0,0.67,SUP113,29.0,0.408,10,52.0,1.7,1
MEDF00534,Glipizide ER 10mg,diabetes,39.0,282.0,408.0,739.0,131.0,-0.38,SUP117,13.0,0.618,5,67.0,6.4,1
MED524834,Doxorubicin 50mg,oncology,2179.0,1125.0,2942.0,1430.0,270.0,-0.08,SUP149,20.0,0.137,15,47.0,0.0,1
MEDC67F00,Morphine Sulfate 15mg,analgesic,542.0,822.0,647.0,713.0,241.0,-0.27,SUP118,26.0,0.606,4,29.0,25.5,1
MED0CDA6F,Fentanyl Patch 25mcg/hr,analgesic,351.0,546.0,1270.0,971.0,247.0,-0.01,SUP119,26.0,0.404,3,114.0,10.5,1
MED073269,Capecitabine 500mg,oncology,72.0,442.0,1964.0,590.0,168.0,0.32,SUP152,37.0,0.323,5,15.0,2.1,1
MEDAE96F2,Hydralazine 25mg,cardiovascular,657.0,1163.0,2804.0,2354.0,371.0,0.32,SUP111,6.0,0.714,1,14.0,2.7,0
MEDF1D690,Chlorpromazine 50mg,psychiatric,1058.0,357.0,2868.0,1715.0,284.0,0.14,SUP142,22.0,0.553,3,27.0,9.0,1
MED5C817A,Insulin Glargine 300U/mL,diabetes,131.0,248.0,526.0,536.0,113.0,-0.39,SUP114,15.0,0.344,5,93.0,10.5,1
MED8C52B9,Ceftriaxone 1g,antibiotic,1343.0,606.0,2334.0,440.0,141.0,-0.33,SUP104,23.0,0.615,2,84.0,1.2,0
MED41188C,Pioglitazone 30mg,diabetes,580.0,587.0,785.0,375.0,143.0,-0.27,SUP116,13.0,0.73,3,114.0,14.3,0
MEDA0F860,Cisplatin 50mg,oncology,970.0,332.0,2839.0,312.0,81.0,0.39,SUP146,48.0,0.362,5,94.0,2.3,1
MEDE560BC,Montelukast 4mg,respiratory,846.0,415.0,1040.0,1655.0,322.0,0.69,SUP128,17.0,0.633,1,89.0,2.7,0
MED49FC1A,Clindamycin 300mg,antibiotic,16.0,135.0,1068.0,63.0,29.0,-0.2,SUP105,7.0,0.717,4,106.0,1.6,0
MED9845D1,Ketorolac 30mg/mL,analgesic,278.0,297.0,2540.0,645.0,233.0,0.12,SUP120,13.0,0.616,10,14.0,2.4,1
MEDC1DD37,Infliximab 100mg,immunological,1118.0,647.0,2260.0,609.0,148.0,0.15,SUP157,29.0,0.35,5,108.0,0.8,1
MED934ED2,Acetazolamide 250mg,neurological,854.0,1256.0,1093.0,1339.0,350.0,0.65,SUP138,12.0,0.574,2,110.0,10.2,1
MED3C7C10,Clindamycin 300mg,antibiotic,832.0,1529.0,1214.0,2431.0,356.0,0.13,SUP105,10.0,0.726,3,120.0,1.2,0
MEDEA1A67,Divalproex ER 500mg,psychiatric,550.0,699.0,2431.0,585.0,283.0,0.1,SUP144,21.0,0.473,5,70.0,3.0,1
MED6BCCEB,Tacrolimus 5mg,immunological,428.0,1449.0,963.0,916.0,361.0,0.44,SUP153,26.0,0.409,6,73.0,3.2,1
MED46B7E3,Lactulose 10g/15mL,gastrointestinal,1540.0,133.0,2001.0,133.0,64.0,0.0,SUP131,13.0,0.659,5,19.0,0.9,0
MED4BAAAC,Ondansetron ODT 4mg,gastrointestinal,1546.0,1069.0,2537.0,2042.0,303.0,-0.34,SUP129,22.0,0.473,8,91.0,4.4,1
MED20B76A,Dexamethasone 4mg,respiratory,825.0,1268.0,2217.0,2059.0,346.0,0.05,SUP126,23.0,0.549,1,100.0,8.0,1
MEDB73EB4,Carbamazepine 400mg,neurological,704.0,202.0,810.0,118.0,41.0,0.13,SUP136,15.0,0.338,11,107.0,1.2,1
MEDA577F1,Ceftriaxone 1g,antibiotic,149.0,75.0,276.0,113.0,25.0,0.17,SUP104,18.0,0.549,6,90.0,3.0,1
MEDF6B0A5,Diclofenac 75mg,analgesic,35.0,900.0,442.0,908.0,183.0,0.19,SUP122,9.0,0.803,0,227.0,0.0,0
MED4ED12F,Sucralfate 1g,gastrointestinal,241.0,368.0,1502.0,574.0,107.0,-0.08,SUP130,10.0,0.676,3,87.0,0.5,0
MED5FA8D1,Ipratropium Nebulizer,respiratory,1155.0,406.0,1810.0,561.0,87.0,0.2,SUP125,8.0,0.513,7,18.0,10.8,1
MEDF7259E,Methotrexate 25mg/mL,oncology,2636.0,789.0,2973.0,2539.0,372.0,0.12,SUP145,24.0,0.407,6,54.0,41.8,1
MEDE2190F,Vancomycin 1g,antibiotic,518.0,578.0,1325.0,289.0,119.0,0.62,SUP103,21.0,0.542,7,29.0,0.6,1
MEDC0F6AD,Haloperidol 5mg,psychiatric,87.0,135.0,427.0,329.0,116.0,0.42,SUP141,18.0,0.514,5,111.0,24.4,1
MED2EC451,Infliximab 100mg,immunological,118.0,34.0,120.0,84.0,33.0,-0.23,SUP157,49.0,0.326,8,9.0,0.5,1
MED03C196,Tacrolimus 5mg,immunological,81.0,1595.0,1692.0,2085.0,341.0,0.46,SUP153,26.0,0.395,7,52.0,11.4,1
MED480D17,Morphine Sulfate 15mg,analgesic,3.0,577.0,434.0,1056.0,204.0,0.47,SUP118,41.0,0.416,5,82.0,1.3,1
MED0471FD,Amiodarone 200mg,cardiovascular,483.0,540.0,1974.0,846.0,217.0,0.02,SUP109,25.0,0.615,5,117.0,9.8,1
MEDD0C0EF,Clozapine 100mg,psychiatric,28.0,475.0,308.0,293.0,126.0,0.23,SUP140,24.0,0.414,7,97.0,1.7,1
MEDC0C8F3,Pioglitazone 30mg,diabetes,453.0,435.0,1476.0,1124.0,297.0,0.1,SUP116,10.0,0.71,3,68.0,1.0,0
MED29BB9F,Glipizide ER 10mg,diabetes,435.0,887.0,1537.0,832.0,291.0,-0.22,SUP117,12.0,0.76,5,84.0,1.8,1
MED03854E,Ketorolac 30mg/mL,analgesic,2754.0,1191.0,2891.0,1934.0,291.0,0.03,SUP120,12.0,0.398,9,1.0,13.7,1
MED793942,Hydralazine 25mg,cardiovascular,1122.0,426.0,2525.0,403.0,86.0,0.69,SUP111,8.0,0.729,2,102.0,3.1,0
MED4C2A88,Enoxaparin 40mg,cardiovascular,588.0,168.0,2608.0,475.0,148.0,0.52,SUP108,21.0,0.473,6,82.0,13.5,1
MED79CCF3,Azathioprine 50mg,immunological,1855.0,183.0,2424.0,387.0,81.0,-0.39,SUP156,27.0,0.383,4,31.0,15.3,1
MEDE20F04,Mycophenolate 500mg,immunological,675.0,495.0,795.0,2548.0,390.0,0.49,SUP155,22.0,0.398,6,34.0,14.0,1
MEDB903A5,Acetazolamide 250mg,neurological,326.0,1139.0,1382.0,855.0,357.0,0.44,SUP138,29.0,0.515,5,58.0,3.2,1
MED85DB42,Cyclosporine 100mg,immunological,225.0,287.0,394.0,418.0,88.0,0.57,SUP154,29.0,0.486,7,28.0,2.0,1
MED821883,Clozapine 100mg,psychiatric,647.0,502.0,971.0,807.0,129.0,-0.36,SUP140,38.0,0.383,8,76.0,12.5,1
MED74511C,Ketorolac 30mg/mL,analgesic,398.0,281.0,1983.0,677.0,280.0,0.56,SUP120,19.0,0.628,5,79.0,26.0,0
MED6E0C7B,Montelukast 4mg,respiratory,64.0,607.0,516.0,1289.0,256.0,0.14,SUP128,18.0,0.67,1,65.0,0.4,0
MED0B26BD,Levofloxacin 500mg,antibiotic,2075.0,242.0,2248.0,290.0,60.0,-0.06,SUP106,7.0,0.689,8,13.0,25.8,0
MED6FB940,Doxorubicin 50mg,oncology,1213.0,224.0,1760.0,264.0,52.0,-0.24,SUP149,49.0,0.16,6,65.0,17.4,1
MED016431,Vancomycin 1g,antibiotic,2639.0,1187.0,2645.0,1184.0,270.0,0.39,SUP103,14.0,0.69,2,109.0,14.5,0
MED07A2D3,Dexamethasone 4mg,respiratory,9.0,458.0,324.0,436.0,107.0,0.36,SUP126,13.0,0.51,3,17.0,7.2,1
MED11D2AF,Infliximab 100mg,immunological,85.0,44.0,1581.0,212.0,37.0,0.49,SUP157,54.0,0.498,7,93.0,14.0,1
MED59FE8C,Clindamycin 300mg,antibiotic,654.0,237.0,2541.0,1216.0,228.0,0.01,SUP105,9.0,0.624,1,40.0,25.1,0
MED8213CB,Chlorpromazine 50mg,psychiatric,51.0,15.0,99.0,35.0,6.0,-0.08,SUP142,27.0,0.736,2,28.0,10.2,0
MED23504D,Spironolactone 25mg,cardiovascular,310.0,290.0,1377.0,358.0,169.0,-0.14,SUP112,3.0,0.809,0,286.0,0.0,0
MED75C33E,Doxorubicin 50mg,oncology,821.0,236.0,875.0,485.0,101.0,0.14,SUP149,69.0,0.204,7,55.0,14.0,1
MED1B1CA7,Carboplatin 150mg,oncology,588.0,1400.0,878.0,1968.0,355.0,-0.12,SUP147,35.0,0.333,2,41.0,5.3,1
MED3A35A1,Azathioprine 50mg,immunological,1794.0,712.0,2012.0,349.0,173.0,0.21,SUP156,30.0,0.487,6,94.0,0.8,1
MEDE837C0,Ketorolac 30mg/mL,analgesic,90.0,239.0,1677.0,397.0,62.0,0.55,SUP120,19.0,0.547,1,8.0,0.6,1
MEDC9A606,Divalproex ER 500mg,psychiatric,2808.0,504.0,2953.0,660.0,124.0,0.13,SUP144,10.0,0.452,3,39.0,18.1,0
MEDC40F81,Tacrolimus 5mg,immunological,324.0,570.0,1087.0,403.0,121.0,0.07,SUP153,28.0,0.367,10,46.0,6.5,1
MED539534,Mesalamine 400mg,gastrointestinal,600.0,911.0,1596.0,1296.0,278.0,0.11,SUP132,15.0,0.481,8,32.0,1.7,1
MEDCC4F4A,Vincristine 1mg,oncology,913.0,46.0,1213.0,81.0,15.0,0.39,SUP150,46.0,0.179,10,49.0,1.3,1
MED94F5B3,Insulin Aspart 100U/mL,diabetes,1206.0,506.0,1626.0,337.0,147.0,0.27,SUP113,27.0,0.365,5,96.0,3.8,1
MED6BF8EA,Carbamazepine 400mg,neurological,597.0,979.0,1356.0,1072.0,226.0,-0.26,SUP136,18.0,0.543,6,75.0,10.1,1
MEDFFDB8A,Diclofenac 75mg,analgesic,38.0,127.0,1560.0,261.0,67.0,-0.36,SUP122,8.0,0.708,7,29.0,10.3,1
MED67D4CA,Azathioprine 50mg,immunological,999.0,1281.0,1724.0,1559.0,394.0,0.2,SUP156,17.0,0.571,2,59.0,19.6,1
MED5A3C29,Pioglitazone 30mg,diabetes,967.0,407.0,2054.0,499.0,249.0,-0.06,SUP116,6.0,0.809,4,79.0,18.4,0
MED98504B,Valproic Acid 250mg,neurological,520.0,541.0,781.0,1868.0,312.0,-0.28,SUP135,8.0,0.547,6,26.0,6.5,1
MED818F58,Doxorubicin 50mg,oncology,1732.0,751.0,2772.0,377.0,162.0,0.69,SUP149,51.0,0.369,4,112.0,4.0,0
MEDD746E0,Levofloxacin 500mg,antibiotic,1227.0,709.0,1358.0,2009.0,295.0,0.1,SUP106,25.0,0.653,3,89.0,22.4,0
MED8791B1,Valproic Acid 250mg,neurological,1358.0,562.0,2507.0,607.0,128.0,0.66,SUP135,13.0,0.639,4,12.0,4.1,0
MED9A0AB3,Cisplatin 50mg,oncology,2576.0,170.0,2846.0,201.0,61.0,0.02,SUP146,39.0,0.348,7,77.0,5.1,1
MEDD867CD,Dexamethasone 4mg,respiratory,52.0,534.0,492.0,1172.0,187.0,0.47,SUP126,12.0,0.593,7,93.0,10.4,1
MED2F2884,Heparin 5000U/mL,cardiovascular,663.0,566.0,2893.0,1001.0,148.0,-0.1,SUP108,24.0,0.495,6,96.0,8.0,1
MED48F35A,Bupropion XL 300mg,psychiatric,418.0,523.0,680.0,977.0,285.0,0.7,SUP143,8.0,0.592,10,67.0,4.4,1
